Day,T,W,SR,DSP,DRH,PanE
1,7.4,2.127,121.4,101,81,0.8
2,8.3,1.736,137.2,101,81,0.8
3,11.8,4.25,108.5,100.4,67,1.9
4,10.5,4.141,147.1,99.8,79,1.7
5,9.5,3.212,117.5,100.4,69,1.5
6,6.8,3.107,90.9,100.6,82,0.8
7,7.5,2.729,129.7,100.9,80,0.9
8,6.1,2.027,234,101.5,79,1
9,4.4,1.408,149.6,101.8,92,0.4
10,4.5,2.187,121.6,101.7,88,0.5
11,3.4,2.92,154.7,101.4,87,0.6
12,3,2.988,111.2,101.3,90,0.5
13,4.7,1.412,127.9,101.4,88,0.5
14,5.2,1.886,161.7,101,72,0.9
15,3.7,2.533,225.8,100.2,70,1.2
16,0.9,2.966,163.1,100.7,81,0.9
17,3.4,2.009,279,101.2,54,1.7
18,4.6,2.269,196.6,101.3,53,1.6
19,4.3,2.373,270.3,100.9,60,1.6
20,6.7,2.332,266.4,101.3,46,2.3
21,6.4,2.164,271.7,101.4,47,2.2
22,7,2.852,167.1,100.7,56,1.9
23,9.7,2.956,265,100.5,71,2.1
24,9.4,2.323,147,101.2,70,1.3
25,10.9,1.485,281.3,101.5,65,1.8
26,11.8,2.068,277.3,101.1,68,2
27,14.6,4.628,124.2,100.4,70,2.6
28,11.2,3.84,189.2,100.8,68,2.2
29,9.8,3.166,237.8,100.7,69,2
30,11.1,3.927,197.2,100.5,67,2.3
31,7.1,3.02,137.3,101.2,88,0.7
32,9.8,2.843,297.4,100.7,63,2.3
33,12.2,3.909,137.9,100.2,60,2.3
34,10.4,3.262,161,100.6,85,1.1
35,11.3,1.986,236.5,101.1,72,1.6
36,10.6,1.622,325.5,101.3,72,1.8
37,11.9,1.968,315.1,101.2,60,2.2
38,14.3,2.551,315.1,100.8,48,3.3
39,14.7,2.474,277,100.3,45,3.6
40,15.9,2.446,154.3,100.2,60,2.5
41,16.2,2.806,348.8,100.3,67,3.2
42,15.7,2.679,166.7,100.9,69,2.1
43,13.8,3.886,142.7,101,82,1.4
44,16.4,3.635,130.3,100.6,77,2.4
45,12.3,2.223,314.3,100.9,69,2.6
46,11.4,4.437,292.8,100.5,71,2.9
47,8.9,2.706,294.7,101.1,77,1.8
48,10.9,1.868,323.3,101.1,59,2.3
49,11,3.134,332.8,100.7,59,2.9
50,9.4,2.761,353,100.8,61,2.5
51,9.9,2.619,362.5,101.1,51,3.2
52,8.6,4.186,365.9,100.4,54,3.3
53,9.1,2.897,389.8,100.4,57,2.9
54,7.6,5.53,358.4,98.9,45,3.8
55,6.6,3.18,363.3,99.2,55,2.6
56,7.4,2.729,352.5,99.7,61,2.5
57,7.2,2.619,397.2,100.5,54,2.7
58,8.9,2.378,425.9,100.9,51,3.1
59,10.6,1.631,399.6,100.8,50,3
60,12.1,1.717,439.5,100.4,50,3.5
61,12.3,2.934,379,100.8,56,3.4
62,15.8,1.913,396.8,100.7,42,4.1
63,17.3,3.148,216,100.3,42,4.5
64,14.1,3.672,140.3,100.3,87,1.3
65,13.8,3.667,273.6,100.6,86,1.9
66,13.8,3.052,318.3,100.5,65,3
67,14,3.403,404,100.6,62,3.5
68,13.4,4.022,456.5,100.8,60,4.4
69,12.4,3.603,275.9,100.8,71,2.5
70,15.4,3.207,464.3,101.1,57,4.5
